name,url,price
Tallahassee,https://www.glassesshop.com/eyeglasses/fp2497?page=3,$24.95
Kissimmee,https://www.glassesshop.com/eyeglasses/fz1561?page=3,$12.95
Trista,https://www.glassesshop.com/eyeglasses/sup1007?page=3,$44.95
Steven,https://www.glassesshop.com/eyeglasses/fz1772?page=3,$34.95
Stephen,https://www.glassesshop.com/eyeglasses/sm0898?page=3,$9.95
Nodia,https://www.glassesshop.com/eyeglasses/sup0700?page=3,$29.95
Winchester,https://www.glassesshop.com/eyeglasses/fp1770?page=3,$19.95
Edgar,https://www.glassesshop.com/eyeglasses/fm1452?page=3,$35.95
Arlington,https://www.glassesshop.com/eyeglasses/fz1530?page=3,$19.95
Sherwood,https://www.glassesshop.com/eyeglasses/sm0885?page=3,$29.95
Crescent,https://www.glassesshop.com/eyeglasses/fz1837?page=3,$29.95
Scranton,https://www.glassesshop.com/eyeglasses/ft0416?page=3,$34.95
Lina,https://www.glassesshop.com/eyeglasses/fz1804?page=3,$29.95
Priscilla,https://www.glassesshop.com/eyeglasses/fz1575?page=3,$29.95
Niagara,https://www.glassesshop.com/eyeglasses/ft0525?page=3,$45.95
Caroline,https://www.glassesshop.com/eyeglasses/fm1589?page=3,$19.95
Norfolk,https://www.glassesshop.com/eyeglasses/fm1464?page=3,$34.95
Plains,https://www.glassesshop.com/eyeglasses/fp2026?page=3,$24.95
Ogden,https://www.glassesshop.com/eyeglasses/fp2165?page=3,$24.95
Southey,https://www.glassesshop.com/eyeglasses/fz1778?page=3,$34.95
Barlow,https://www.glassesshop.com/eyeglasses/sm0933?page=3,$29.95
Mankato,https://www.glassesshop.com/eyeglasses/fz1477?page=4,$9.95
Milwaukee,https://www.glassesshop.com/eyeglasses/fm1664?page=4,$29.95
Frederic,https://www.glassesshop.com/eyeglasses/fm1633?page=4,$19.95
Agnes,https://www.glassesshop.com/eyeglasses/sup1134?page=4,$29.95
Haggai,https://www.glassesshop.com/eyeglasses/fp1775?page=4,$24.95
Kerlins,https://www.glassesshop.com/eyeglasses/sup0658?page=4,$29.95
,,
James,https://www.glassesshop.com/eyeglasses/fm1084?page=4,$39.95
Blair,https://www.glassesshop.com/eyeglasses/fm1657?page=4,$29.95
Monterey,https://www.glassesshop.com/eyeglasses/sup1183?page=4,$19.95
Robben,https://www.glassesshop.com/eyeglasses/ft0242?page=4,$39.95
Peekskill,https://www.glassesshop.com/eyeglasses/ft0358?page=4,$44.95
Tacoma,https://www.glassesshop.com/eyeglasses/spfm014?page=4,$34.95
Elvis,https://www.glassesshop.com/eyeglasses/rm0291?page=4,$59.95
Manhattan,https://www.glassesshop.com/eyeglasses/ft0425?page=4,$44.95
Oneida,https://www.glassesshop.com/eyeglasses/ft0405?page=4,$44.95
Annapolis,https://www.glassesshop.com/eyeglasses/fz1814?page=4,$29.95
Mobile,https://www.glassesshop.com/eyeglasses/ft0359?page=4,$39.95
Abner,https://www.glassesshop.com/eyeglasses/sm0923?page=4,$29.95
,,
Mandel,https://www.glassesshop.com/eyeglasses/st0257?page=4,$49.95
Gadsden,https://www.glassesshop.com/eyeglasses/rm0304?page=4,$29.95
NewHaven,https://www.glassesshop.com/eyeglasses/fz1555?page=4,$29.95
,,
Hillsborough,https://www.glassesshop.com/eyeglasses/fp0989?page=4,$19.95
Memphis,https://www.glassesshop.com/eyeglasses/fz1739?page=4,$29.95
Wilsen,https://www.glassesshop.com/eyeglasses/fz1315?page=4,$29.95
,,
Schenectady,https://www.glassesshop.com/eyeglasses/sup1256?page=4,$29.95
